rssi,csi_0,csi_1,csi_2,csi_3,csi_4,csi_5,csi_6,csi_7,csi_8,csi_9,csi_10,csi_11,csi_12,csi_13,csi_14,csi_15,csi_16,csi_17,csi_18,csi_19,csi_20,csi_21,csi_22,csi_23,csi_24,csi_25,csi_26,csi_27,csi_28,csi_29,csi_30,csi_31,csi_32,csi_33,csi_34,csi_35,csi_36,csi_37,csi_38,csi_39,csi_40,csi_41,csi_42,csi_43,csi_44,csi_45,csi_46,csi_47,csi_48,csi_49,csi_50,csi_51,csi_52,csi_53,csi_54,csi_55,csi_56,csi_57,csi_58,csi_59,csi_60,csi_61,csi_62,csi_63,csi_64,csi_65,csi_66,csi_67,csi_68,csi_69,csi_70,csi_71,csi_72,csi_73,csi_74,csi_75,csi_76,csi_77,csi_78,csi_79,csi_80,csi_81,csi_82,csi_83,csi_84,csi_85,csi_86,csi_87,csi_88,csi_89,csi_90,csi_91,csi_92,csi_93,csi_94,csi_95,csi_96,csi_97,csi_98,csi_99,csi_100,csi_101,csi_102,csi_103,csi_104,csi_105,csi_106,csi_107,csi_108,csi_109,csi_110,csi_111,csi_112,csi_113,csi_114,csi_115,csi_116,csi_117,csi_118,csi_119,csi_120,csi_121,csi_122,csi_123,csi_124,csi_125,csi_126,csi_127
-58,-23,-112,14,0,-9,11,-16,11,-22,11,-26,13,-29,15,-32,18,-32,20,-31,22,-29,22,-27,21,-24,20,-21,17,-17,12,-14,6,-11,-1,-9,-8,-8,-14,-7,-21,-7,-26,-8,-29,-9,-32,-10,-33,-10,-33,-11,-33,-11,-32,-3,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,15,-16,16,-17,17,-17,18,-18,17,-19,16,-19,14,-18,13,-16,11,-13,9,-9,7,-4,6,1,5,6,6,12,7,17,9,21,11,24,14,26,16,27,19,27,21,26,21,24,21,21,19,17,14,14,10,11
-59,-114,-32,8,0,0,0,0,0,0,0,5,-4,20,-15,20,-15,22,-15,23,-14,22,-13,22,-13,22,-12,22,-11,22,-11,23,-11,23,-11,24,-10,24,-10,22,-9,22,-8,23,-8,22,-8,21,-9,20,-8,20,-8,20,-7,20,-7,19,-8,19,-8,20,-8,20,-8,9,-4,19,-9,19,-9,19,-9,18,-10,17,-9,17,-9,17,-9,17,-10,16,-10,16,-10,16,-10,15,-11,15,-11,15,-11,16,-11,16,-12,16,-12,15,-12,15,-12,15,-13,14,-13,14,-13,14,-14,13,-15,12,-14,12,-15,3,-4,0,0,0,0,0,0,0,0
-59,30,-32,1,0,0,0,0,0,0,0,5,4,21,19,21,20,21,22,21,23,19,22,19,22,18,23,17,22,16,23,16,23,17,25,16,25,15,25,14,24,14,24,14,24,14,23,14,21,14,21,13,21,12,21,12,20,12,20,13,20,13,21,12,21,6,10,14,20,14,19,14,19,14,18,15,17,15,17,15,17,15,16,15,16,15,16,15,16,15,15,16,14,17,15,17,15,17,15,18,15,18,14,18,14,18,13,18,13,18,13,18,12,19,12,19,11,19,11,4,2,0,0,0,0,0,0,0,0
-59,30,-32,1,0,0,0,0,0,0,0,-5,-5,-18,-19,-18,-20,-18,-22,-18,-23,-17,-22,-16,-22,-15,-22,-14,-22,-14,-23,-14,-23,-15,-24,-14,-24,-14,-24,-13,-23,-12,-23,-12,-23,-12,-22,-12,-21,-12,-20,-11,-21,-10,-20,-10,-20,-11,-19,-12,-19,-12,-20,-11,-20,-6,-10,-13,-19,-13,-19,-13,-18,-13,-17,-13,-16,-13,-17,-13,-17,-13,-16,-13,-15,-13,-15,-14,-15,-15,-14,-16,-14,-16,-14,-16,-14,-16,-15,-16,-14,-16,-14,-16,-14,-16,-13,-17,-13,-17,-12,-18,-12,-18,-11,-18,-11,-18,-10,-5,-3,0,0,0,0,0,0,0,0
-77,-23,-112,14,0,-19,21,-16,20,-12,21,-11,21,-13,21,-14,18,-11,14,-5,13,-4,8,-9,2,-11,-1,-11,-3,-15,-3,-18,-2,-20,0,-22,1,-22,2,-21,2,-20,2,-20,3,-18,4,-14,5,-11,4,-8,2,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,2,10,2,9,4,7,7,4,9,2,11,1,14,1,17,0,20,-1,22,-1,24,-1,25,1,26,3,26,4,25,6,23,5,18,3,14,5,13,7,13,3,14,-2,13,-6,11,-13,12,-18,15,-21,16
-71,-103,-109,57,0,-33,-34,-31,-29,-28,-23,-23,-18,-18,-16,-14,-14,-9,-14,-6,-16,-5,-19,-3,-20,-1,-22,0,-23,-2,-24,-3,-25,-4,-25,-4,-23,-4,-22,-3,-19,-2,-16,0,-15,1,-13,4,-10,6,-8,8,-7,10,-6,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,-1,11,-4,8,-6,4,-9,0,-13,-3,-17,-6,-21,-8,-25,-10,-30,-11,-33,-11,-34,-10,-36,-8,-35,-7,-34,-5,-30,-3,-26,-4,-21,-6,-17,-10,-13,-15,-12,-21,-12,-28,-13,-35,-16,-40,-21,-43,-25,-45
-71,75,-79,20,0,-41,-3,-36,0,-31,1,-26,2,-21,1,-17,-1,-14,-5,-13,-7,-13,-9,-12,-12,-13,-15,-15,-15,-16,-15,-17,-15,-18,-14,-17,-13,-16,-12,-13,-11,-11,-10,-9,-9,-7,-10,-4,-9,-1,-9,1,-9,3,-10,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,5,8,1,8,-2,7,-6,6,-10,5,-15,6,-19,6,-22,7,-25,9,-28,12,-28,14,-28,15,-26,15,-24,15,-22,14,-19,12,-17,8,-17,3,-17,-2,-19,-7,-23,-12,-28,-15,-33,-16,-38,-17,-42,-16
-57,-23,-112,14,0,-12,7,-20,6,-26,4,-31,5,-35,6,-38,7,-40,9,-40,11,-38,11,-35,12,-31,11,-27,9,-21,6,-15,1,-10,-4,-4,-9,0,-15,4,-21,6,-26,8,-30,8,-33,8,-34,8,-35,8,-34,7,-34,1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,13,-18,15,-19,16,-20,17,-21,16,-21,15,-21,14,-20,12,-17,11,-14,9,-10,7,-5,5,1,5,7,5,13,6,18,7,23,9,27,12,30,14,31,17,31,18,31,19,29,19,26,17,21,13,16,8,12
-90,-23,-112,14,0,-3,4,-2,4,-5,4,-10,7,-12,11,-9,13,-7,9,-6,5,-6,5,-6,5,-6,2,-4,0,-6,1,-6,2,-5,1,-7,1,-8,0,-7,0,-6,1,-5,0,-5,-2,-6,-2,-5,0,-3,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-8,-6,-8,-7,-8,-10,-6,-10,-5,-8,-5,-7,-3,-7,0,-6,4,-4,5,-3,5,-2,7,0,8,2,10,1,12,1,12,1,13,1,13,1,10,2,9,1,9,0,7,-2,5,-3,6,-2,7,-2,8,-3
-57,-23,-112,14,0,12,-6,20,-3,26,-1,31,-1,35,-2,39,-3,40,-4,40,-6,38,-7,36,-8,32,-8,27,-7,21,-4,14,0,8,4,2,9,-3,14,-7,19,-11,24,-13,27,-14,30,-14,32,-14,33,-13,33,-13,32,-4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-17,15,-19,16,-20,16,-21,17,-20,18,-19,18,-18,16,-16,14,-13,11,-11,7,-8,2,-6,-3,-4,-9,-3,-15,-4,-20,-5,-25,-7,-30,-8,-33,-11,-35,-13,-35,-14,-34,-15,-33,-16,-29,-15,-25,-11,-19,-7,-14
